"Step","stateleaky - ppl","stateleaky - ppl__MIN","stateleaky - ppl__MAX","leaky - ppl","leaky - ppl__MIN","leaky - ppl__MAX"
"400","","","","340.5927546380982","340.5927546380982","340.5927546380982"
"403","","","","335.58249538501286","335.58249538501286","335.58249538501286"
"404","","","","345.50746599001667","345.50746599001667","345.50746599001667"
"405","","","","361.72698955628687","361.72698955628687","361.72698955628687"
"406","","","","335.58249605423606","335.58249605423606","335.58249605423606"
"408","","","","359.68229588282964","359.68229588282964","359.68229588282964"
"409","","","","371.8518000870907","371.8518000870907","371.8518000870907"
"410","","","","356.59627130471586","356.59627130471586","356.59627130471586"
"411","","","","374.80532530385386","374.80532530385386","374.80532530385386"
"413","","","","355.07340085533696","355.07340085533696","355.07340085533696"
"414","","","","344.83885814283167","344.83885814283167","344.83885814283167"
"420","","","","325.11798848230853","325.11798848230853","325.11798848230853"
"422","","","","353.4867698074058","353.4867698074058","353.4867698074058"
"423","","","","358.4033116450971","358.4033116450971","358.4033116450971"
"424","","","","338.50595453066916","338.50595453066916","338.50595453066916"
"425","","","","340.59562708092807","340.59562708092807","340.59562708092807"
"426","","","","342.8108065039641","342.8108065039641","342.8108065039641"
"427","","","","345.2129561079393","345.2129561079393","345.2129561079393"
"428","","","","352.16156194645197","352.16156194645197","352.16156194645197"
"429","331.55031957925934","331.55031957925934","331.55031957925934","383.74405678481514","383.74405678481514","383.74405678481514"
"434","","","","352.4035890180254","352.4035890180254","352.4035890180254"
"435","","","","342.85624661316103","342.85624661316103","342.85624661316103"
"439","","","","363.6066188136674","363.6066188136674","363.6066188136674"
"440","","","","361.12090056280107","361.12090056280107","361.12090056280107"
"441","","","","372.1150055099142","372.1150055099142","372.1150055099142"
"442","","","","369.2552501126453","369.2552501126453","369.2552501126453"
"443","","","","339.24586556289023","339.24586556289023","339.24586556289023"
"444","","","","349.9840879471576","349.9840879471576","349.9840879471576"
"445","","","","357.79921869565845","357.79921869565845","357.79921869565845"
"446","","","","344.48606312464636","344.48606312464636","344.48606312464636"
"449","","","","346.4942261323099","346.4942261323099","346.4942261323099"
"450","","","","358.060509865994","358.060509865994","358.060509865994"
"451","","","","350.40413338721214","350.40413338721214","350.40413338721214"
"452","","","","343.3892545452155","343.3892545452155","343.3892545452155"
"453","","","","355.2387144962215","355.2387144962215","355.2387144962215"
"454","","","","357.3336462320232","357.3336462320232","357.3336462320232"
"455","","","","340.4350343888481","340.4350343888481","340.4350343888481"
"456","","","","327.7140071489111","327.7140071489111","327.7140071489111"
"457","","","","344.21858982120744","344.21858982120744","344.21858982120744"
"458","","","","344.66328023257165","344.66328023257165","344.66328023257165"
"459","","","","353.4898546833729","353.4898546833729","353.4898546833729"
"460","","","","326.12740524895975","326.12740524895975","326.12740524895975"
"461","","","","325.7492495178368","325.7492495178368","325.7492495178368"
"462","","","","338.29378452857964","338.29378452857964","338.29378452857964"
"464","","","","354.79329615043827","354.79329615043827","354.79329615043827"
"466","","","","324.2734493843255","324.2734493843255","324.2734493843255"
"467","","","","343.97317562156536","343.97317562156536","343.97317562156536"
"469","","","","343.2542692355452","343.2542692355452","343.2542692355452"
"470","","","","332.8123295820987","332.8123295820987","332.8123295820987"
"471","","","","331.78227085879877","331.78227085879877","331.78227085879877"
"472","","","","343.5036291691877","343.5036291691877","343.5036291691877"
"473","","","","359.394797991224","359.394797991224","359.394797991224"
"474","","","","329.64683788357047","329.64683788357047","329.64683788357047"
"476","301.46461846877696","301.46461846877696","301.46461846877696","344.3201826457449","344.3201826457449","344.3201826457449"
"478","","","","365.48212506147667","365.48212506147667","365.48212506147667"
"479","","","","338.9444466100937","338.9444466100937","338.9444466100937"
"480","","","","335.5955481310755","335.5955481310755","335.5955481310755"
"481","","","","335.7573611594093","335.7573611594093","335.7573611594093"
"482","","","","351.73684383742693","351.73684383742693","351.73684383742693"
"483","","","","334.87462477883145","334.87462477883145","334.87462477883145"
"486","","","","326.945770555812","326.945770555812","326.945770555812"
"487","","","","359.3060911445711","359.3060911445711","359.3060911445711"
"488","","","","352.26825184959","352.26825184959","352.26825184959"
"489","","","","353.22362724858095","353.22362724858095","353.22362724858095"
"490","","","","338.6483754771481","338.6483754771481","338.6483754771481"
"491","","","","332.6433832423049","332.6433832423049","332.6433832423049"
"492","","","","371.53660727411153","371.53660727411153","371.53660727411153"
"493","","","","345.0807392855809","345.0807392855809","345.0807392855809"
"494","","","","326.40261737653253","326.40261737653253","326.40261737653253"
"495","","","","326.8622772299086","326.8622772299086","326.8622772299086"
"496","","","","326.55842114915373","326.55842114915373","326.55842114915373"
"497","","","","338.1992665405788","338.1992665405788","338.1992665405788"
"498","","","","330.4963594315733","330.4963594315733","330.4963594315733"
"500","","","","387.8831613233664","387.8831613233664","387.8831613233664"
"501","","","","305.0321563222942","305.0321563222942","305.0321563222942"
"502","","","","358.2712006141901","358.2712006141901","358.2712006141901"
"505","","","","342.0551996080552","342.0551996080552","342.0551996080552"
"510","","","","330.3786572437022","330.3786572437022","330.3786572437022"
"511","","","","354.3346315034962","354.3346315034962","354.3346315034962"
"512","","","","362.16896066139697","362.16896066139697","362.16896066139697"
"513","","","","329.03251237742705","329.03251237742705","329.03251237742705"
"514","279.58440259796635","279.58440259796635","279.58440259796635","322.7124848024215","322.7124848024215","322.7124848024215"
"516","","","","333.4475318734937","333.4475318734937","333.4475318734937"
"518","","","","326.1625414088518","326.1625414088518","326.1625414088518"
"519","","","","339.38985600011245","339.38985600011245","339.38985600011245"
"520","","","","324.3590171733048","324.3590171733048","324.3590171733048"
"523","","","","347.3306282409193","347.3306282409193","347.3306282409193"
"525","","","","342.1323713312278","342.1323713312278","342.1323713312278"
"526","","","","354.8321021080531","354.8321021080531","354.8321021080531"
"527","","","","328.31133741012775","328.31133741012775","328.31133741012775"
"528","","","","349.3868375696486","349.3868375696486","349.3868375696486"
"529","","","","333.57862223362076","333.57862223362076","333.57862223362076"
"530","","","","345.42929977649703","345.42929977649703","345.42929977649703"
"531","","","","329.8148161305715","329.8148161305715","329.8148161305715"
"532","","","","342.6431656601934","342.6431656601934","342.6431656601934"
"533","290.4806093751667","290.4806093751667","290.4806093751667","331.84382700273267","331.84382700273267","331.84382700273267"
"534","","","","367.05771635355995","367.05771635355995","367.05771635355995"
"535","","","","334.96943382251675","334.96943382251675","334.96943382251675"
"536","","","","344.7292110613931","344.7292110613931","344.7292110613931"
"537","","","","334.6612759970374","334.6612759970374","334.6612759970374"
"538","","","","356.97133913385176","356.97133913385176","356.97133913385176"
