"Step","multi-beta-learn - loss","multi-beta-learn - loss__MIN","multi-beta-learn - loss__MAX","single-beta-no-learn-beta - loss","single-beta-no-learn-beta - loss__MIN","single-beta-no-learn-beta - loss__MAX","single-beta-learn-beta - loss","single-beta-learn-beta - loss__MIN","single-beta-learn-beta - loss__MAX"
"2707","5.293503134536933","5.293503134536933","5.293503134536933","5.309129489688423","5.309129489688423","5.309129489688423","5.254652127969754","5.254652127969754","5.254652127969754"
"2732","5.271958576488578","5.271958576488578","5.271958576488578","5.350293221558339","5.350293221558339","5.350293221558339","5.257550406969547","5.257550406969547","5.257550406969547"
"2752","5.352428287164461","5.352428287164461","5.352428287164461","5.315081438680333","5.315081438680333","5.315081438680333","5.221973871987859","5.221973871987859","5.221973871987859"
"2815","5.310493050144272","5.310493050144272","5.310493050144272","5.312513489763197","5.312513489763197","5.312513489763197","5.3098108972363995","5.3098108972363995","5.3098108972363995"
"2821","5.241413677342686","5.241413677342686","5.241413677342686","5.276638237412325","5.276638237412325","5.276638237412325","5.221656198576679","5.221656198576679","5.221656198576679"
"2833","5.277589827288361","5.277589827288361","5.277589827288361","5.322843031191915","5.322843031191915","5.322843031191915","5.2519835825041525","5.2519835825041525","5.2519835825041525"
"2836","5.2882778137687625","5.2882778137687625","5.2882778137687625","","","","5.227530133509206","5.227530133509206","5.227530133509206"
"2874","5.306909260837283","5.306909260837283","5.306909260837283","5.330502636152173","5.330502636152173","5.330502636152173","5.287250698875604","5.287250698875604","5.287250698875604"
"2911","5.31476523162378","5.31476523162378","5.31476523162378","5.288989149679349","5.288989149679349","5.288989149679349","5.190892737681471","5.190892737681471","5.190892737681471"
"2958","5.276924020700267","5.276924020700267","5.276924020700267","5.331909649480137","5.331909649480137","5.331909649480137","5.224177475730971","5.224177475730971","5.224177475730971"
"2975","5.300089588367244","5.300089588367244","5.300089588367244","5.260534672490431","5.260534672490431","5.260534672490431","5.271874951928993","5.271874951928993","5.271874951928993"
"2977","5.313089315394093","5.313089315394093","5.313089315394093","","","","","",""
"2992","5.234656446210991","5.234656446210991","5.234656446210991","","","","5.283029691440853","5.283029691440853","5.283029691440853"
"3003","5.3200203163651825","5.3200203163651825","5.3200203163651825","5.211681117672892","5.211681117672892","5.211681117672892","5.298024786660137","5.298024786660137","5.298024786660137"
"3029","5.2791779733853526","5.2791779733853526","5.2791779733853526","5.284886551704826","5.284886551704826","5.284886551704826","5.211064071229051","5.211064071229051","5.211064071229051"
"3068","5.3269575218453795","5.3269575218453795","5.3269575218453795","5.319371919285274","5.319371919285274","5.319371919285274","5.23993649805026","5.23993649805026","5.23993649805026"
"3073","5.193336676912886","5.193336676912886","5.193336676912886","5.296560954448108","5.296560954448108","5.296560954448108","5.285244962574157","5.285244962574157","5.285244962574157"
"3091","5.1619682958410635","5.1619682958410635","5.1619682958410635","5.299528379391933","5.299528379391933","5.299528379391933","5.165767695724705","5.165767695724705","5.165767695724705"
"3096","5.321571345386409","5.321571345386409","5.321571345386409","5.202564258293565","5.202564258293565","5.202564258293565","5.218518534983237","5.218518534983237","5.218518534983237"
"3117","5.213766928368707","5.213766928368707","5.213766928368707","5.224612690899339","5.224612690899339","5.224612690899339","5.179722166584494","5.179722166584494","5.179722166584494"
"3121","5.209282241679567","5.209282241679567","5.209282241679567","","","","5.2834690584901125","5.2834690584901125","5.2834690584901125"
"3124","5.199619028126161","5.199619028126161","5.199619028126161","5.269383347879245","5.269383347879245","5.269383347879245","5.259278015388583","5.259278015388583","5.259278015388583"
"3163","5.280918086581969","5.280918086581969","5.280918086581969","5.311475253449322","5.311475253449322","5.311475253449322","5.250126831054687","5.250126831054687","5.250126831054687"
