"Step","gen2-spiking - ppl","gen2-spiking - ppl__MIN","gen2-spiking - ppl__MAX","stateleaky-tuned - ppl","stateleaky-tuned - ppl__MIN","stateleaky-tuned - ppl__MAX"
"15746","13.466286133125454","13.466286133125454","13.466286133125454","26.079801691345324","26.079801691345324","26.079801691345324"
"15888","","","","26.841547449953982","26.841547449953982","26.841547449953982"
"15898","14.410198753354003","14.410198753354003","14.410198753354003","26.192854923048465","26.192854923048465","26.192854923048465"
"15941","12.43516766898058","12.43516766898058","12.43516766898058","25.506357751541497","25.506357751541497","25.506357751541497"
"16117","13.470287591063457","13.470287591063457","13.470287591063457","25.87746457727725","25.87746457727725","25.87746457727725"
"16183","","","","22.457209711862813","22.457209711862813","22.457209711862813"
"16223","","","","24.820309237522732","24.820309237522732","24.820309237522732"
"16308","13.786821788744861","13.786821788744861","13.786821788744861","22.61218121194856","22.61218121194856","22.61218121194856"
"16314","13.095320086692327","13.095320086692327","13.095320086692327","24.142347493573524","24.142347493573524","24.142347493573524"
"16348","13.333869476350023","13.333869476350023","13.333869476350023","24.278921905611348","24.278921905611348","24.278921905611348"
"16649","11.777968359991256","11.777968359991256","11.777968359991256","23.27889012167389","23.27889012167389","23.27889012167389"
"16814","13.812591403437292","13.812591403437292","13.812591403437292","23.533120305467378","23.533120305467378","23.533120305467378"
"16884","13.491408331279969","13.491408331279969","13.491408331279969","21.69201471608526","21.69201471608526","21.69201471608526"
"16901","","","","22.360736803138543","22.360736803138543","22.360736803138543"
"16916","","","","22.612505562129243","22.612505562129243","22.612505562129243"
"17063","13.659713836013207","13.659713836013207","13.659713836013207","20.13078697696446","20.13078697696446","20.13078697696446"
"17225","13.866674866623699","13.866674866623699","13.866674866623699","22.12462806204438","22.12462806204438","22.12462806204438"
"17256","","","","21.376385291783993","21.376385291783993","21.376385291783993"
"17328","14.855313294066693","14.855313294066693","14.855313294066693","21.56658440373584","21.56658440373584","21.56658440373584"
"17345","13.421510428335772","13.421510428335772","13.421510428335772","22.46920702633616","22.46920702633616","22.46920702633616"
"17466","12.810504449764093","12.810504449764093","12.810504449764093","22.73241399301908","22.73241399301908","22.73241399301908"
"17620","11.57429619173467","11.57429619173467","11.57429619173467","21.80817852615348","21.80817852615348","21.80817852615348"
"17762","13.436419667557193","13.436419667557193","13.436419667557193","19.176471406335345","19.176471406335345","19.176471406335345"
"17835","12.185980472898065","12.185980472898065","12.185980472898065","20.524570983060556","20.524570983060556","20.524570983060556"
"17944","12.272603816330545","12.272603816330545","12.272603816330545","22.979291608752845","22.979291608752845","22.979291608752845"
"17994","13.418684901361152","13.418684901361152","13.418684901361152","21.886330916612515","21.886330916612515","21.886330916612515"
